ID_rest;Rest_name;Cuisine;Price;Tags;Adress
/msk/restaurant/259404/;Костер;Бары;700–1500 рублей;Американская кухня,Бургеры,Европейская кухня,Бары;Одинцово, Говорова, 163, ТЦ «Атлас»
/msk/restaurant/259405/;Арт-кафе;Кафе;До 700 рублей;Европейская кухня,Кафе,Бары;Химки, Панфилова, влад. 19, ДЦ «Кантри-парк»
/msk/restaurant/259407/;Hesburger;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Кафе,Фастфуд;Москва, Арбат, 22/2, стр. 4
/msk/restaurant/259408/;Hesburger;Фастфуд;До 700 рублей;Американская кухня,Бургеры,Кафе,Фастфуд;Балашиха, Свердлова, 30
/msk/restaurant/259410/;Hookah Place Otradnoe;0;0;Кальяны,Бары;Москва, Декабристов, 17
/msk/restaurant/259411/;Hookah Place Butovo;0;0;Кальяны,Бары;Москва, Чечерский пр., влад. 3, стр. 5
/msk/restaurant/259412/;Hookah Place Baumanka;0;0;Кальяны,Бары;Москва, Бауманская, 33/2
/msk/restaurant/259413/;Hookah Place Mansion;0;0;Кальяны,Бары;Москва, Садовая-Черногрязская, 3б, стр. 7
/msk/restaurant/259414/;Hookah Place Begovaya;0;0;Кальяны,Чайные;Москва, Розанова, 4
/msk/restaurant/259415/;Hookah Place Krasnoselskaya;0;0;Кальяны,Бары;Москва, 2-я Рыбинская, 13
/msk/restaurant/259416/;Hookah Place Lubyanka;0;0;Кальяны,Бары;Москва, Фуркасовский пер., 3
/msk/restaurant/259417/;Hookah Place Roscha;0;0;Кальяны,Бары;Москва, Октябрьская, 26, стр. 1
/msk/restaurant/259418/;Hookah Place Maryino;0;0;Кальяны,Бары;Москва, Люблинская, 163/1
/msk/restaurant/259419/;Hookah Place Mayakovskaya;0;0;Кальяны,Чайные;Москва, Оружейный пер., 3
